Product ID,Customer ID,Rating,Review Text
PROD659,CUST7815,4,"Very easy to use, beginner-friendly."
PROD945,CUST1531,5,Would definitely buy again.
PROD927,CUST7881,5,"Perfect gift for my friend, they loved it!"
PROD921,CUST7299,1,Would definitely buy again.
PROD312,CUST6078,2,"Battery life is very short, not as advertised."
PROD929,CUST7564,4,Customer service was unhelpful.
PROD574,CUST9041,2,"Shipping took too long, not satisfied."
PROD904,CUST7209,4,Amazing value for money!
PROD184,CUST8978,2,Amazing value for money!
PROD253,CUST9987,3,Product does not match the description.
PROD261,CUST2272,3,Product does not match the description.
PROD226,CUST4589,5,"Battery life is very short, not as advertised."
PROD872,CUST8023,1,"Not satisfied, poor quality."
PROD541,CUST4317,1,"Better than expected, great performance."
PROD999,CUST8626,4,Product does not match the description.
PROD246,CUST5608,1,Customer service was unhelpful.
PROD380,CUST2694,3,Sound quality is below average.
PROD475,CUST5260,3,Amazing value for money!
PROD326,CUST4451,1,Too expensive for the quality provided.
PROD123,CUST9932,5,"The instructions were unclear, difficult to set up."
PROD717,CUST3999,3,"Arrived damaged, had to request a replacement."
PROD999,CUST1684,1,The item stopped working after a week.
PROD354,CUST4443,5,"The instructions were unclear, difficult to set up."
PROD478,CUST1975,3,Too expensive for the quality provided.
PROD438,CUST5183,5,The item stopped working after a week.
PROD131,CUST8633,1,"Fantastic build quality, feels premium."
PROD848,CUST1269,3,"Arrived damaged, had to request a replacement."
PROD802,CUST2095,5,The item stopped working after a week.
PROD300,CUST5914,2,"Very easy to use, beginner-friendly."
PROD708,CUST6622,2,Would definitely buy again.
PROD413,CUST1124,1,"Great product, works as expected!"
PROD714,CUST8483,3,Sound quality is below average.
PROD797,CUST3244,3,"The instructions were unclear, difficult to set up."
PROD332,CUST2643,1,Product does not match the description.
PROD793,CUST9746,5,Amazing value for money!
PROD617,CUST7466,2,"Arrived damaged, had to request a replacement."
PROD359,CUST6440,1,Customer service was unhelpful.
PROD397,CUST3136,2,Customer service was unhelpful.
PROD152,CUST7550,5,Customer service was unhelpful.
PROD197,CUST1639,3,Customer service was unhelpful.
PROD216,CUST2013,3,"Shipping took too long, not satisfied."
PROD876,CUST8487,5,"Better than expected, great performance."
PROD926,CUST2343,4,Highly recommended for anyone looking for this.
PROD390,CUST6705,5,Customer service was unhelpful.
PROD295,CUST5918,3,Highly recommended for anyone looking for this.
PROD940,CUST4300,5,Fast delivery and excellent packaging.
PROD506,CUST2851,2,Highly recommended for anyone looking for this.
PROD327,CUST4416,2,"Very easy to use, beginner-friendly."
PROD964,CUST2981,1,Fast delivery and excellent packaging.
PROD833,CUST6208,4,Would definitely buy again.
PROD591,CUST3223,1,Product does not match the description.
PROD257,CUST6225,5,"Battery life is very short, not as advertised."
PROD793,CUST4850,2,"Not what I ordered, very disappointed."
PROD830,CUST8841,3,Highly recommended for anyone looking for this.
PROD620,CUST8446,1,"Very easy to use, beginner-friendly."
PROD838,CUST3129,5,Product does not match the description.
PROD669,CUST1599,4,Product does not match the description.
PROD444,CUST4045,4,Customer service was unhelpful.
PROD367,CUST3699,5,"Fantastic build quality, feels premium."
PROD237,CUST4664,2,"Fantastic build quality, feels premium."
PROD283,CUST6229,3,Amazing value for money!
PROD956,CUST2065,5,The item stopped working after a week.
